artista,n_oyentes,n_playcount,ratio_popularidad
Taylor Swift,5948967,3683614785,619.2024237149071
Drake,6729727,1169696541,173.81039988694934
Morgan Wallen,989113,91888417,92.89981731106558
Kendrick Lamar,5106415,1033716569,202.43489199369813
The Weeknd,5328245,1126305806,211.38401218412443
SZA,3504094,589255295,168.1619542740577
Zach Bryan,1208397,137124086,113.4760231943641
Tyler the Creator,107186,2735055,25.516905192842348
Billie Eilish,4239357,838620840,197.81793323846045
Ariana Grande,4492745,1115822259,248.36091498627232
Bad Bunny,2590653,408927893,157.8474203222122
Karol G,1451485,76292593,52.56175089649566
Myke Towers,661720,28597446,43.21683793749622
Quevedo,387739,23975059,61.83298301176823
Aitana,245120,14890195,60.74655270887728
Rosalía,1871616,204488926,109.25794928019423
Morad,207877,9355983,45.00730239516637
Melendi,316407,8249876,26.073620368702336
Enrique Iglesias,2716934,54327654,19.995941749045063
Juanes,1211159,22001553,18.165701613083005
Duki,298789,43159159,144.44694751145457
María Becerra,511,7104,13.902152641878669
Tini Stoessel,49,486,9.918367346938776
Nicki Nicole,257566,10863954,42.179301615896506
Cazzu,208180,5902008,28.350504371217216
Lali,133198,9023208,67.74281896124566
Paulo Londra,388136,16810457,43.31073901931282
Shakira,4890728,180830063,36.9740584632799
Bizarrap,929562,46103038,49.59651749963962
Emilia,502388,18981614,37.782777454875514
